no,9x,s_drc,k_drc,i_drc,g_drc,pn,ss,ds,ys,bs,ns,edb_s,edb_d,edb_y,edb_b,edb_n,trh_s,trh_d,trh_y,trh_b,trh_n,cog_s,cog_d,cog_y,cog_b,cog_n,din_s,din_d,din_y,din_b,din_n,mat_s,mat_d,mat_y,mat_b,mat_n,fiz_s,fiz_d,fiz_y,fiz_b,fiz_n,kim_s,kim_d,kim_y,kim_b,kim_n,biy_s,biy_d,biy_y,biy_b,biy_n
220,9C,1,1,1,14,455.155,100,90,8,2,88.0,20,18,2,0,17.5,8,8,0,0,8.0,8,8,0,0,8.0,4,4,0,0,4.0,30,26,3,1,25.25,12,12,0,0,12.0,10,8,1,1,7.75,8,6,2,0,5.5
5,9A,1,2,2,40,436.735,100,86,9,5,83.75,20,16,2,2,15.5,8,8,0,0,8.0,8,8,0,0,8.0,4,4,0,0,4.0,30,25,4,1,24.0,12,11,1,0,10.75,10,8,1,1,7.75,8,6,1,1,5.75
218,9C,2,3,3,62,427.38,100,84,10,6,81.5,20,16,4,0,15.0,8,7,1,0,6.75,8,7,0,1,7.0,4,4,0,0,4.0,30,25,1,4,24.75,12,10,2,0,9.5,10,9,0,1,9.0,8,6,2,0,5.5
230,9C,3,4,4,69,425.075,100,84,11,5,81.25,20,16,4,0,15.0,8,7,1,0,6.75,8,7,0,1,7.0,4,4,0,0,4.0,30,23,3,4,22.25,12,10,2,0,9.5,10,10,0,0,10.0,8,7,1,0,6.75
7,9A,2,5,5,103,417.08,100,82,12,6,79.0,20,14,3,3,13.25,8,7,1,0,6.75,8,6,1,1,5.75,4,4,0,0,4.0,30,28,1,1,27.75,12,10,2,0,9.5,10,7,3,0,6.25,8,6,1,1,5.75
210,9C,4,6,6,126,413.475,100,81,16,3,77.0,20,18,2,0,17.5,8,7,1,0,6.75,8,6,1,1,5.75,4,4,0,0,4.0,30,23,5,2,21.75,12,7,5,0,5.75,10,9,1,0,8.75,8,7,1,0,6.75
84,9A,3,7,7,129,412.58,100,80,13,7,76.75,20,18,1,1,17.75,8,6,2,0,5.5,8,6,1,1,5.75,4,4,0,0,4.0,30,23,3,4,22.25,12,10,2,0,9.5,10,7,3,0,6.25,8,6,1,1,5.75
53,9A,4,8,8,194,397.96,100,78,13,9,74.75,20,13,4,3,12.0,8,7,1,0,6.75,8,7,0,1,7.0,4,3,1,0,2.75,30,24,3,3,23.25,12,9,3,0,8.25,10,9,0,1,9.0,8,6,1,1,5.75
274,9C,5,9,9,227,394.605,100,76,14,10,72.5,20,18,2,0,17.5,8,7,1,0,6.75,8,7,0,1,7.0,4,3,1,0,2.75,30,17,5,8,15.75,12,11,1,0,10.75,10,8,1,1,7.75,8,5,3,0,4.25
282,9C,6,10,10,293,385.485,100,75,16,9,71.0,20,16,3,1,15.25,8,6,2,0,5.5,8,4,2,2,3.5,4,3,1,0,2.75,30,21,5,4,19.75,12,9,3,0,8.25,10,10,0,0,10.0,8,6,0,2,6.0
34,9A,5,11,11,299,384.275,100,76,19,5,71.25,20,14,5,1,12.75,8,6,2,0,5.5,8,3,4,1,2.0,4,4,0,0,4.0,30,24,3,3,23.25,12,11,1,0,10.75,10,7,3,0,6.25,8,7,1,0,6.75
18,9A,6,12,12,332,380.05,100,76,20,4,71.0,20,12,7,1,10.25,8,7,1,0,6.75,8,6,2,0,5.5,4,2,2,0,1.5,30,23,4,3,22.0,12,10,2,0,9.5,10,9,1,0,8.75,8,7,1,0,6.75
242,9C,7,13,13,342,379.435,100,74,16,10,70.0,20,13,5,2,11.75,8,6,2,0,5.5,8,6,1,1,5.75,4,2,1,1,1.75,30,24,2,4,23.5,12,10,1,1,9.75,10,8,2,0,7.5,8,5,2,1,4.5
